sp.morphosp_revised,class_revised,order_revised,family_revised,habitat,taxa.c,taxa.n,taxa.p,taxa.cn,taxa.cp,taxa.np,taxa.mass.cn,taxa.mass.cp,taxa.mass.np,body.weight.gr,N,P_ter
Folsomia fimetaria,Collembola,Entomobryomorpha,Isotomidae,terrestrial,39.13,9.561228235,,4.77269487344882,,,4.09257043532964,,,,1626.26045191667,16.725162088871
Folsomia fimetaria,Collembola,Entomobryomorpha,Isotomidae,terrestrial,39.26,9.79273,,4.67534886091652,,,4.00909654406892,,,,1626.26045191667,16.725162088871
Platyarthrus sp.,Malacostraca,Isopoda,Platyarthridae,terrestrial,,1.16,,,,,,,,,1060.04392759167,66.8020805945763
Porcellio monticola,Malacostraca,Isopoda,Porcellionidae,terrestrial,32.59,6.85,,5.54831738536788,,,4.75766423357664,,,,1429.54224075,31.8652597665787
Porcellio monticola,Malacostraca,Isopoda,Porcellionidae,terrestrial,31.5,7.0,,5.24783318207931,,,4.5,,,,1429.54224075,31.8652597665787
Ctenidium molluscum,Bryopsida,Hypnales,Hypnaceae,terrestrial,,1.9,0.09,,,46.6829763216492,,,21.1111111111111,,,
Bryum argenteum,Bryopsida,Bryales,Bryaceae,terrestrial,,1.43,,,,,,,,,,
Bryum capillare,Bryopsida,Bryales,Bryaceae,terrestrial,,1.67,,,,,,,,,,
Ceratodon purpureus,Bryopsida,Dicranales,Ditrichaceae,terrestrial,,1.78,,,,,,,,,,
Grimmia pulvinata,Bryopsida,Grimmiales,Grimmiaceae,terrestrial,,1.79,,,,,,,,,,
Homalothecium sericeum,Bryopsida,Hypnales,Brachytheciaceae,terrestrial,,2.04,,,,,,,,,,
Hypnum cupressiforme,Bryopsida,Hypnales,Hypnaceae,terrestrial,,1.22,,,,,,,,,,
Racomitrium lanuginosum,Bryopsida,Grimmiales,Grimmiaceae,terrestrial,,0.9,,,,,,,,,,
Tortula muralis,Bryopsida,Pottiales,Pottiaceae,terrestrial,,1.53,,,,,,,,,,
Calliergonella cuspidata,Bryopsida,Hypnales,Amblystegiaceae,terrestrial,,1.4,,,,,,,,,,
Thuidium tamariscinum,Bryopsida,Hypnales,Thuidiaceae,terrestrial,,1.58,,,,,,,,,,
Calliergon cordifolium,Bryopsida,Hypnales,Amblystegiaceae,terrestrial,,2.8,,,,,,,,,,
Dicranum scoparium,Bryopsida,Dicranales,Dicranaceae,terrestrial,,0.84,,,,,,,,,,
Pleurozium schreberi,Bryopsida,Hypnales,Hylocomiaceae,terrestrial,,0.59,,,,,,,,,,
Ptilium crista-castrensis,Bryopsida,Hypnales,Hypnaceae,terrestrial,,0.68,,,,,,,,,,
Racomitrium lanuginosum,Bryopsida,Grimmiales,Grimmiaceae,terrestrial,,0.71,,,,,,,,,,
Rhytidiadelphus loreus,Bryopsida,Hypnales,Hylocomiaceae,terrestrial,,0.54,,,,,,,,,,
Pleurozium schreberi,Bryopsida,Hypnales,Hylocomiaceae,terrestrial,,1.3,0.29,,,9.91271911004167,,,4.48275862068966,,,
Pleurozium schreberi,Bryopsida,Hypnales,Hylocomiaceae,terrestrial,,1.2,0.15,,,17.6903910271513,,,8.0,,,
Pleurozium schreberi,Bryopsida,Hypnales,Hylocomiaceae,terrestrial,,0.7,0.11,,,14.0719019534158,,,6.36363636363636,,,
Pleurozium schreberi,Bryopsida,Hypnales,Hylocomiaceae,terrestrial,,0.8,0.11,,,16.0821736610466,,,7.27272727272727,,,
Tomentypnum nitens,Bryopsida,Hypnales,Brachytheciaceae,terrestrial,,0.91,0.12,,,16.7690164944872,,,7.58333333333333,,,
Tomentypnum nitens,Bryopsida,Hypnales,Brachytheciaceae,terrestrial,,0.75,0.069,,,24.0358573738469,,,10.8695652173913,,,
